name,count,is_active
Kàwazaki Zosen-*3,56,true
Qimgdao Haixíng (3),17,true
Shànghai Longhua *3,36,true
Atlantic enginèerng,38,false
Kawasaki Zosén (2),28,false
Industria Nvale Pesnte,13,true
Pacific Heavy Engineering,1,true
Oceanic Marine Company x2,16,false
Fujian Haigöng,9,false
PacificHeavy Engineering,5,false
zinoWave Systemz-x2,30,false
Hokkaido Zosen,51,false
Industria Marina Pesada,41,true
Yokohama-Shiptech,18,false
índustria Navale Peante,52,false
Idüstria MarinaPesada,14,false
néptunö Tecnologia Màriná,10,false
SinoWave Systems,37,true
Industrie Marine Lourd *3,1,false
Séoul Ship Systemz 4x,36,true
ösaka Kikai x2,24,true
Nippon Kogyo Marine *3,20,false
Poseidon Engineering,20,true
Sakura Ship Engineering,9,true
mordsee Anlagenbau-(3),34,false
Qingdao Haixing,35,true
SinoWave Systems x2,47,true
Blue Harbor-Technölogy,27,false
Sakura-Heavy Works,56,false
Oceanic Marine Company,25,true
Shanghai Longhua,17,true
Hyundai öcean Works x5,16,false
Oceamic Mríne Company,50,true
Qingdao Haíxinj,36,false
OceanicMaie-Company,48,false
GüangzhouH-aiji,24,false
Shenzhen Haíxinj,3,false
Indüstria Marina Pesada (3),46,false
Blue Harbor Technolögy (2),20,false
Atlantc-Engineerimg,55,false
Seoul Shp Systems,20,false
Shenzhen-Haíxing 4x,19,true
Hokkaido-Zosen,16,false
SinoWàve-Systems,17,true
Nordsee Anagembau (2),19,false
sinöMaríne Syztems (2),1,true
Marima Teknolöia Pesada,8,false
Maritéch Engineerin (2),40,false
Zhejiang Okean Tech (2),21,true
Ndsee-ánlajenbau,3,true
Pacific Heavy engíneering x2,48,false
Poseidon engneering (2),8,false
Osaka-Kikai,40,true
Kawasaki Zosem-(3),5,false
Maritech Engineerimg,18,true
Nordsee Anlagenbau,59,false
Industrie Marine-Lourd,19,true
Global Maríne-industry,3,true
Sakura Heàvy-Wrks,40,false
Poseídon Engineerig,43,false
Nord zea Diesel Industry,54,false
Marina Tecnolögià Pesada,3,false
Sakura Heavy Works,42,true
Yokohama-zhiptech *3,13,false
Nordsée Anlagenbau,23,true
Oceaic Marine Company x5,34,false
Tianjin Gongchej,52,true
Yokoama-Shiptéch,15,false
Nord-Sa Díesel índustry x5,30,true
SinoMarine Systems,47,true
Neptune Marine-Techology,37,false
Tianjin Gonjcheng,31,false
Poseidon Engineerinj 4x,11,true
Hokkaido Zosen,45,false
guangzhou-Haiji,13,false
Tianjin Gomgcheng x2,32,false
Fujian Haigong-4x,46,true
Nord zea Disel índustry x2,37,false
Tiànjín-Gongkheng,42,false
Maritech Engineering,16,true
Sakura Heavy Works,21,true
Neptuno Técnologia Marina x2,27,false
Blue Harbor Tecnoloy x5,14,false
Marina Tecnologia Pesada,49,true
Seoul-Ship Systemz,58,false
Guangzhou Haiji,12,false
Yokohàma Shiptéch,40,true
Atlantic Engineering x5,20,true
Shenzhen-Haixíng,1,false
Nord SeaDiesel Imdustry-(3),60,false
Fujian-Hàijong,3,false
Kawasaki-Zosen (2),60,false
Industria Marina Pèsada,14,false
Zhonjhai Jixie x5,42,false
Titan Heavy-equipment,53,true
Maritech Engineering-x5,14,true
Shanghai Longhuá,57,false
Shànghai Lönghüa x2,8,false
Zhejiang-Ocean Tech,6,false
Zejiang Ocean-Tech 4x,50,true
arina Teknologia-Pèsada,10,true
Hokkaido Zosen,41,true
Haiman Okeanic x2,49,true
Fujían Haigng,13,false
Shenzhen-Haixinj,26,false
Pácífic Heavy-Engneering,60,false
Titn Heàvy Equípment,11,true
Kawasaki Zosen,45,true
Kob Ship Solutions,3,true
Oceamic Mariné Company,13,true
Hyundai Ocean Works x2,5,false
Zhomghái Jixie,46,true
Tcnologia Marimá Avànzada,32,true
Neptune Márine Technology,35,false
Zhejiànj Ocean Tech (2),42,false
Guangzhou Haiji,33,true
Nordsee Anlagenbau,54,true
Sàkura Ship enjineering,51,false
Mritec-Engineering,32,true
Kobe Ship solutions,14,false
Neptume Marine Tecnolögy x2,14,false
Titan Heavy Equipent,30,false
Atlantiqüe Idutríe Mariné (3),21,true
Neptumo Tecnoogia Marina *3,59,false
Hyundai Ocean Works,39,true
Atlantique Industrie Marine,37,true
Shemzhèn Háixing (3),34,false
FujíánHaigöng,51,false
Tianjin Gongcheng,27,true
Osaka Kikai,10,true
Atlantic Emgimèerinj,30,false
QíngdaoHaixing,50,false
Kbe Ship Solutions,35,false
Hainan Oceanic,56,true
Tecnología Marina Avànzada *3,45,false
Zhonghai Jixie,13,true
Sakura Heavy Works,6,false
Neptune Marine Technology,51,true
industriè Marine Lourd *3,37,false
Sakura Ship Engineerinj,27,true
Neptune-Marine Technology,39,false
Seoul Ship Systems,17,true
Kawásaki Zosen 4x,51,false
Industria Mariná Pezàà,44,false
Blue Harbor Technology,22,true
Nord Sea Diesel Industry,41,true
Tianjim Gongchéng-(3),40,false
Yokohama Shiptech,17,true
Global Marine-Induztry x5,24,false
NipponKogyo-Maríme,59,true
Qingdao ixinj,14,false
Hyundàí Ocean-Works,51,false
SinoMarine Systems,30,false
neptuno Técnolögiá Marina,7,false
SimoWave Systems,54,false
Industria Navale Pesante,53,true
Industria arina Pezada (3),59,false
Hokkaido Zosen 4x,23,true
Fujian Haigong,52,true
Kobe Ship Solutions,48,true
Industrie Marine Lourd,59,true
Neptuno Tecnologia Marina,32,true
Sakura Heavy Works,55,true
Poseion énjinèèring,46,false
SínoMarin-eSystmz,41,true
Tecnoojia Marina Avanzadà (2),37,false
Atlantique nduztrie Marine,45,true
Osaka Kikai,2,false
Marina-Tenoogia Pesadà,11,false
Guángzhou Haiji,24,false
Hainan Oceanic,3,false
Atlamtiu IndustrieMarine,38,false
Marina Tecnologia Pesada,22,false
Nippon Kogyo-Marínè,28,false
Pcific Heav Enjineering (3),49,false
Global Márine Industry,23,false
Global-Marine Industry,9,false
Industrie Márine Lourd 4x,55,false
Guangzhou Haiji-4x,22,true
Atlantiqüe Industrie Márine (2),33,true
Atlantic Engineering,25,true
Titan Héavy Equipment,8,false
Indutia Navale Pesante,35,false
Níppon Kogyo-Marine (2),19,true
Global Marine Industry,7,true
Tecnología Marina Avànzada (3),22,false
Yoohama shiptech,50,false
Nippon Kogyo Marine,42,true
zinoMarine Systemz,9,false
Seoul zhíp Systems x5,55,true
Hainan Ocenic-x2,54,true
Kobe Ship Solutioms (2),60,false
índustrie Marine Lourd,17,false
Zhèjiang Oceam Tech,53,false
Sakura Ship Engineering,41,true
Seoul Ship Systems x5,35,false
Titán HeavyEquipmmt x5,32,false
Kbé-Ship solütions,23,false
Teknologia Marima Avanzadá x5,13,false
Osa-Kikài (2),59,false
aínan Oceanic,6,false
Global-Marine industy,15,false
honghai Jixie-x5,32,true
Maritech Enginèering,24,false
Hyündai-öcean Wörks,51,false
Pácific Heavy Emgimeering-(3),27,false
Nord Sea Diesel Industry 4x,30,false
hanghai Longhua,36,false
