name,best_match,fuzzy_matching_score,score_with_cleaned_name,score_3ch,score_5ch,total,position
Kàwazaki Zosen-*3,Kàwazaki Zosen-*3,100,100,120,150,470,1
Kàwazaki Zosen-*3,Kawasaki Zosen,77,85,67,60,289,2
Qimgdao Haixíng (3),Qimgdao Haixíng (3),100,100,120,150,470,1
Qimgdao Haixíng (3),Qimgdao Haixing,85,93,120,150,448,2
Shànghai Longhua *3,Shànghai Longhua *3,100,100,120,150,470,1
Shànghai Longhua *3,Shanghai Longhua,86,93,67,80,326,2
Atlantic enginèerng,Atlantic Engineering,92,62,120,150,424,1
Atlantic enginèerng,Atlantic Engineering x5,86,59,120,150,415,2
Kawasaki Zosén (2),Kawasaki Zosen,84,92,120,150,446,1
Kawasaki Zosén (2),Kàwazaki Zosen-*3,76,77,67,60,280,2
Industria Nvale Pesnte,Industria Nvale Pesnte,100,100,120,150,470,1
Industria Nvale Pesnte,Industria Navale Pesante,96,95,120,150,461,2
Pacific Heavy Engineering,Pacific Heavy Engineering,100,100,120,150,470,1
Pacific Heavy Engineering,Maritech Engineering,71,40,33,40,184,2
Oceanic Marine Company x2,Oceanic Marine Company,94,95,120,150,459,1
Oceanic Marine Company x2,Oceamic Mariné Company,85,60,120,0,265,2
Fujian Haigöng,Fujian Haigong,93,92,120,150,455,1
Fujian Haigöng,Fujian Haigong-4x,84,89,120,150,443,2
PacificHeavy Engineering,Pacific Heavy Engineering,98,100,120,150,468,1
PacificHeavy Engineering,Maritech Engineering,73,40,33,40,186,2
zinoWave Systemz-x2,SinoWave Systems x2,89,64,67,80,300,1
zinoWave Systemz-x2,SinoWave Systems,80,58,67,80,285,2
Hokkaido Zosen,Hokkaido Zosen,100,100,120,150,470,1
Hokkaido Zosen,Hokkaido Zosen 4x,90,96,120,150,456,2
Industria Marina Pesada,Industria Marina Pesada,100,100,120,150,470,1
Industria Marina Pesada,Industria Navale Pesante,72,70,120,150,412,2
Yokohama-Shiptech,Yokohama Shiptech,100,100,120,150,470,1
Yokohama-Shiptech,Yokohàma Shiptéch,88,88,120,150,446,2
índustria Navale Peante,Industria Navale Pesante,94,93,67,80,334,1
índustria Navale Peante,Industria Nvale Pesnte,89,88,67,80,324,2
Idüstria MarinaPesada,Industria Marina Pesada,91,93,67,60,311,1
Idüstria MarinaPesada,Industria Navale Pesante,62,62,67,60,251,2
néptunö Tecnologia Màriná,Neptuno Tecnologia Marina,84,83,67,80,314,1
néptunö Tecnologia Màriná,Neptune Marine Technology,56,65,67,80,268,2
SinoWave Systems,SinoWave Systems,100,100,120,150,470,1
SinoWave Systems,SinoWave Systems x2,91,94,120,150,455,2
Industrie Marine Lourd *3,Industrie Marine-Lourd,94,100,120,150,464,1
Industrie Marine Lourd *3,Industrie Marine Lourd,94,100,120,150,464,1
Séoul Ship Systemz 4x,Séoul Ship Systemz 4x,100,100,120,150,470,1
Séoul Ship Systemz 4x,Seoul Ship Systems,82,62,67,80,291,2
ösaka Kikai x2,ösaka Kikai x2,100,100,120,150,470,1
ösaka Kikai x2,Osaka-Kikai,80,86,67,80,313,2
Nippon Kogyo Marine *3,Nippon Kogyo Marine,93,100,120,150,463,1
Nippon Kogyo Marine *3,NipponKogyo-Maríme,80,79,120,150,429,2
Poseidon Engineering,Poseidon Engineering,100,100,120,150,470,1
